[16/02/2017 09:28:34.046]   Starting Telephony v.2016.12.15.0 D7
[16/02/2017 09:28:34.067]   Activating TCP server..
[16/02/2017 09:28:34.070]   TCP Server Listening on port : 6101
[16/02/2017 09:28:34.225]   Client Connected
[16/02/2017 09:29:06.272]   UNREGISTER
[16/02/2017 09:29:06.274]   UNREGISTRATION FAILED
[16/02/2017 09:29:06.777]   REGISTER|192.168.126.130|2001|ext2001
[16/02/2017 09:29:06.796]   REGISTRATION SUCCESS
[16/02/2017 09:30:06.788]   Re-register
[16/02/2017 09:30:06.794]   Unregistered
[16/02/2017 09:30:08.304]   Re-register success
[16/02/2017 09:31:06.787]   Re-register
[16/02/2017 09:31:06.790]   Unregistered
[16/02/2017 09:31:08.300]   Re-register success
[16/02/2017 09:32:06.789]   Re-register
[16/02/2017 09:32:06.791]   Unregistered
[16/02/2017 09:32:08.298]   Re-register success
[16/02/2017 09:33:06.788]   Re-register
[16/02/2017 09:33:06.790]   Unregistered
[16/02/2017 09:33:08.296]   Re-register success
[16/02/2017 09:34:06.791]   Re-register
[16/02/2017 09:34:06.796]   Unregistered
[16/02/2017 09:34:08.314]   Re-register success
[16/02/2017 09:35:06.789]   Re-register
[16/02/2017 09:35:06.792]   Unregistered
[16/02/2017 09:35:08.311]   Re-register success
[16/02/2017 09:36:06.790]   Re-register
[16/02/2017 09:36:06.793]   Unregistered
[16/02/2017 09:36:08.313]   Re-register success
[16/02/2017 09:37:06.788]   Re-register
[16/02/2017 09:37:06.790]   Unregistered
[16/02/2017 09:37:08.296]   Re-register success
[16/02/2017 09:38:06.789]   Re-register
[16/02/2017 09:38:06.791]   Unregistered
[16/02/2017 09:38:08.299]   Re-register success
[16/02/2017 09:39:06.788]   Re-register
[16/02/2017 09:39:06.793]   Unregistered
[16/02/2017 09:39:08.318]   Re-register success
[16/02/2017 09:40:06.789]   Re-register
[16/02/2017 09:40:06.791]   Unregistered
[16/02/2017 09:40:08.300]   Re-register success
[16/02/2017 09:41:06.789]   Re-register
[16/02/2017 09:41:06.791]   Unregistered
[16/02/2017 09:41:08.300]   Re-register success
[16/02/2017 09:42:06.791]   Re-register
[16/02/2017 09:42:06.796]   Unregistered
[16/02/2017 09:42:08.303]   Re-register success
[16/02/2017 09:43:06.787]   Re-register
[16/02/2017 09:43:06.789]   Unregistered
[16/02/2017 09:43:08.301]   Re-register success
[16/02/2017 09:44:06.789]   Re-register
[16/02/2017 09:44:06.794]   Unregistered
[16/02/2017 09:44:08.301]   Re-register success
[16/02/2017 09:45:06.788]   Re-register
[16/02/2017 09:45:06.790]   Unregistered
[16/02/2017 09:45:08.301]   Re-register success
[16/02/2017 09:46:06.787]   Re-register
[16/02/2017 09:46:06.791]   Unregistered
[16/02/2017 09:46:08.298]   Re-register success
[16/02/2017 09:47:06.788]   Re-register
[16/02/2017 09:47:06.790]   Unregistered
[16/02/2017 09:47:08.299]   Re-register success
[16/02/2017 09:48:06.789]   Re-register
[16/02/2017 09:48:06.791]   Unregistered
[16/02/2017 09:48:08.301]   Re-register success
[16/02/2017 09:49:06.788]   Re-register
[16/02/2017 09:49:06.791]   Unregistered
[16/02/2017 09:49:08.298]   Re-register success
[16/02/2017 09:50:06.787]   Re-register
[16/02/2017 09:50:06.789]   Unregistered
[16/02/2017 09:50:08.300]   Re-register success
[16/02/2017 09:51:06.791]   Re-register
[16/02/2017 09:51:06.792]   Unregistered
[16/02/2017 09:51:08.299]   Re-register success
[16/02/2017 09:52:06.789]   Re-register
[16/02/2017 09:52:06.795]   Unregistered
[16/02/2017 09:52:08.305]   Re-register success
[16/02/2017 09:53:06.790]   Re-register
[16/02/2017 09:53:06.791]   Unregistered
[16/02/2017 09:53:08.298]   Re-register success
[16/02/2017 09:54:06.788]   Re-register
[16/02/2017 09:54:06.792]   Unregistered
[16/02/2017 09:54:08.300]   Re-register success
[16/02/2017 09:55:06.788]   Re-register
[16/02/2017 09:55:06.794]   Unregistered
[16/02/2017 09:55:08.303]   Re-register success
[16/02/2017 09:56:06.787]   Re-register
[16/02/2017 09:56:06.790]   Unregistered
[16/02/2017 09:56:08.296]   Re-register success
[16/02/2017 09:57:06.787]   Re-register
[16/02/2017 09:57:06.792]   Unregistered
[16/02/2017 09:57:08.305]   Re-register success
[16/02/2017 09:58:06.788]   Re-register
[16/02/2017 09:58:06.790]   Unregistered
[16/02/2017 09:58:08.303]   Re-register success
[16/02/2017 09:59:06.789]   Re-register
[16/02/2017 09:59:06.794]   Unregistered
[16/02/2017 09:59:08.306]   Re-register success
[16/02/2017 10:00:04.225]   Re-register
[16/02/2017 10:00:04.227]   Unregistered
[16/02/2017 10:00:05.736]   Re-register success
[16/02/2017 10:01:04.225]   Re-register
[16/02/2017 10:01:04.227]   Unregistered
[16/02/2017 10:01:05.737]   Re-register success
[16/02/2017 10:02:04.223]   Re-register
[16/02/2017 10:02:04.227]   Unregistered
[16/02/2017 10:02:05.743]   Re-register success
[16/02/2017 10:03:04.224]   Re-register
[16/02/2017 10:03:04.227]   Unregistered
[16/02/2017 10:03:05.743]   Re-register success
[16/02/2017 10:04:04.223]   Re-register
[16/02/2017 10:04:04.229]   Unregistered
[16/02/2017 10:04:05.753]   Re-register success
[16/02/2017 10:05:04.225]   Re-register
[16/02/2017 10:05:04.227]   Unregistered
[16/02/2017 10:05:05.735]   Re-register success
[16/02/2017 10:06:04.224]   Re-register
[16/02/2017 10:06:04.225]   Unregistered
[16/02/2017 10:06:05.731]   Re-register success
[16/02/2017 10:07:04.224]   Re-register
[16/02/2017 10:07:04.226]   Unregistered
[16/02/2017 10:07:05.737]   Re-register success
[16/02/2017 10:08:04.223]   Re-register
[16/02/2017 10:08:04.225]   Unregistered
[16/02/2017 10:08:05.730]   Re-register success
[16/02/2017 10:09:04.225]   Re-register
[16/02/2017 10:09:04.227]   Unregistered
[16/02/2017 10:09:05.735]   Re-register success
[16/02/2017 10:10:04.225]   Re-register
[16/02/2017 10:10:04.227]   Unregistered
[16/02/2017 10:10:05.734]   Re-register success
[16/02/2017 10:11:04.225]   Re-register
[16/02/2017 10:11:04.226]   Unregistered
[16/02/2017 10:11:05.734]   Re-register success
[16/02/2017 10:12:04.223]   Re-register
[16/02/2017 10:12:04.225]   Unregistered
[16/02/2017 10:12:05.736]   Re-register success
[16/02/2017 10:13:04.223]   Re-register
[16/02/2017 10:13:04.224]   Unregistered
[16/02/2017 10:13:05.731]   Re-register success
[16/02/2017 10:14:04.222]   Re-register
[16/02/2017 10:14:04.224]   Unregistered
[16/02/2017 10:14:05.731]   Re-register success
[16/02/2017 10:15:04.225]   Re-register
[16/02/2017 10:15:04.227]   Unregistered
[16/02/2017 10:15:05.732]   Re-register success
[16/02/2017 10:16:04.225]   Re-register
[16/02/2017 10:16:04.227]   Unregistered
[16/02/2017 10:16:05.733]   Re-register success
[16/02/2017 10:17:04.223]   Re-register
[16/02/2017 10:17:04.225]   Unregistered
[16/02/2017 10:17:05.732]   Re-register success
[16/02/2017 10:18:04.225]   Re-register
[16/02/2017 10:18:04.226]   Unregistered
[16/02/2017 10:18:05.735]   Re-register success
[16/02/2017 10:19:04.225]   Re-register
[16/02/2017 10:19:04.227]   Unregistered
[16/02/2017 10:19:05.737]   Re-register success
[16/02/2017 10:20:04.223]   Re-register
[16/02/2017 10:20:04.225]   Unregistered
[16/02/2017 10:20:05.734]   Re-register success
